# gemmi 0.7.5: number	hm	xhm	short	hall	operators
9	C n 1 1	C n 1 1	Cn11	C -2xac	x,y,z;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x,y+1/2,z+1/2
9	I c 1 1	I c 1 1	Ic11	I -2xc	x,y,z;-x,y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,z
9	C c 1 1	C c 1 1	Cc11	C -2xc	x,y,z;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,z+1/2
9	B n 1 1	B n 1 1	Bn11	B -2xab	x,y,z;-x+1/2,y+1/2,z;x+1/2,y,z+1/2;-x,y+1/2,z+1/2
9	I b 1 1	I b 1 1	Ib11	I -2xb	x,y,z;-x,y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,y,z+1/2
10	P 1 2/m 1	P 1 2/m 1	P2/m	-P 2y	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z
10	P 1 1 2/m	P 1 1 2/m	P112/m	-P 2	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z
10	P 2/m 1 1	P 2/m 1 1	P2/m11	-P 2x	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z
11	P 1 21/m 1	P 1 21/m 1	P21/m	-P 2yb	x,y,z;-x,y+1/2,-z;-x,-y,-z;x,-y+1/2,z
11	P 1 1 21/m	P 1 1 21/m	P1121/m	-P 2c	x,y,z;-x,-y,z+1/2;-x,-y,-z;x,y,-z+1/2
11	P 21/m 1 1	P 21/m 1 1	P21/m11	-P 2xa	x,y,z;x+1/2,-y,-z;-x,-y,-z;-x+1/2,y,z
12	C 1 2/m 1	C 1 2/m 1	C2/m	-C 2y	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z
12	A 1 2/m 1	A 1 2/m 1	A2/m	-A 2y	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
12	I 1 2/m 1	I 1 2/m 1	I2/m	-I 2y	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
12	A 1 1 2/m	A 1 1 2/m	A112/m	-A 2	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2
12	B 1 1 2/m	B 1 1 2/m	B112/m	-B 2	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2
12	I 1 1 2/m	I 1 1 2/m	I112/m	-I 2	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2
12	B 2/m 1 1	B 2/m 1 1	B2/m11	-B 2x	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y,z+1/2
12	C 2/m 1 1	C 2/m 1 1	C2/m11	-C 2x	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;-x+1/2,y+1/2,z
12	I 2/m 1 1	I 2/m 1 1	I2/m11	-I 2x	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2
13	P 1 2/c 1	P 1 2/c 1	P2/c	-P 2yc	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2
13	P 1 2/n 1	P 1 2/n 1	P2/n	-P 2yac	x,y,z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,-y,z+1/2
13	P 1 2/a 1	P 1 2/a 1	P2/a	-P 2ya	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z
13	P 1 1 2/a	P 1 1 2/a	P112/a	-P 2a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z
13	P 1 1 2/n	P 1 1 2/n	P112/n	-P 2ab	x,y,z;-x+1/2,-y+1/2,z;-x,-y,-z;x+1/2,y+1/2,-z
13	P 1 1 2/b	P 1 1 2/b	P112/b	-P 2b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z
13	P 2/b 1 1	P 2/b 1 1	P2/b11	-P 2xb	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z
13	P 2/n 1 1	P 2/n 1 1	P2/n11	-P 2xbc	x,y,z;x,-y+1/2,-z+1/2;-x,-y,-z;-x,y+1/2,z+1/2
13	P 2/c 1 1	P 2/c 1 1	P2/c11	-P 2xc	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2
14	P 1 21/c 1	P 1 21/c 1	P21/c	-P 2ybc	x,y,z;-x,y+1/2,-z+1/2;-x,-y,-z;x,-y+1/2,z+1/2
14	P 1 21/n 1	P 1 21/n 1	P21/n	-P 2yn	x,y,z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,-y+1/2,z+1/2
14	P 1 21/a 1	P 1 21/a 1	P21/a	-P 2yab	x,y,z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,-y+1/2,z
14	P 1 1 21/a	P 1 1 21/a	P1121/a	-P 2ac	x,y,z;-x+1/2,-y,z+1/2;-x,-y,-z;x+1/2,y,-z+1/2
14	P 1 1 21/n	P 1 1 21/n	P1121/n	-P 2n	x,y,z;-x+1/2,-y+1/2,z+1/2;-x,-y,-z;x+1/2,y+1/2,-z+1/2
14	P 1 1 21/b	P 1 1 21/b	P1121/b	-P 2bc	x,y,z;-x,-y+1/2,z+1/2;-x,-y,-z;x,y+1/2,-z+1/2
14	P 21/b 1 1	P 21/b 1 1	P21/b11	-P 2xab	x,y,z;x+1/2,-y+1/2,-z;-x,-y,-z;-x+1/2,y+1/2,z
14	P 21/n 1 1	P 21/n 1 1	P21/n11	-P 2xn	x,y,z;x+1/2,-y+1/2,-z+1/2;-x,-y,-z;-x+1/2,y+1/2,z+1/2
14	P 21/c 1 1	P 21/c 1 1	P21/c11	-P 2xac	x,y,z;x+1/2,-y,-z+1/2;-x,-y,-z;-x+1/2,y,z+1/2
15	C 1 2/c 1	C 1 2/c 1	C2/c	-C 2yc	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z+1/2
15	A 1 2/n 1	A 1 2/n 1	A2/n	-A 2yab	x,y,z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,-y,z+1/2
15	I 1 2/a 1	I 1 2/a 1	I2/a	-I 2ya	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x+1/2,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
15	A 1 2/a 1	A 1 2/a 1	A2/a	-A 2ya	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
15	C 1 2/n 1	C 1 2/n 1	C2/n	-C 2yac	x,y,z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,-y+1/2,z+1/2
15	I 1 2/c 1	I 1 2/c 1	I2/c	-I 2yc	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z
15	A 1 1 2/a	A 1 1 2/a	A112/a	-A 2a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2
15	B 1 1 2/n	B 1 1 2/n	B112/n	-B 2ab	x,y,z;-x+1/2,-y+1/2,z;-x,-y,-z;x+1/2,y+1/2,-z;x+1/2,y,z+1/2;-x,-y+1/2,z+1/2;-x+1/2,-y,-z+1/2;x,y+1/2,-z+1/2
15	I 1 1 2/b	I 1 1 2/b	I112/b	-I 2b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2
15	B 1 1 2/b	B 1 1 2/b	B112/b	-B 2b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x+1/2,y,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2
