# gemmi 0.7.5: number	hm	xhm	short	hall	operators
33	P 21 c n	P 21 c n	P21cn	P -2n 2a	x,y,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y,-z;x,-y+1/2,z+1/2
33	P c 21 n	P c 21 n	Pc21n	P -2n -2ac	x,y,z;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z+1/2;-x,y+1/2,-z
33	P n 21 a	P n 21 a	Pn21a	P -2ac -2n	x,y,z;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;-x,y+1/2,-z
34	P n n 2	P n n 2	Pnn2	P 2 -2n	x,y,z;-x,-y,z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
34	P 2 n n	P 2 n n	P2nn	P -2n 2	x,y,z;x+1/2,y+1/2,-z+1/2;x,-y,-z;x+1/2,-y+1/2,z+1/2
34	P n 2 n	P n 2 n	Pn2n	P -2n -2n	x,y,z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-x,y,-z
35	C m m 2	C m m 2	Cmm2	C 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
35	A 2 m m	A 2 m m	A2mm	A -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
35	B m 2 m	B m 2 m	Bm2m	B -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z;x+1/2,y,z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x+1/2,y,-z+1/2
36	C m c 21	C m c 21	Cmc21	C 2c -2	x,y,z;-x,-y,z+1/2;-x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
36	C c m 21	C c m 21	Ccm21	C 2c -2c	x,y,z;-x,-y,z+1/2;-x,y,z+1/2;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z
36	A 21 m a	A 21 m a	A21ma	A -2a 2a	x,y,z;x+1/2,y,-z;x+1/2,-y,-z;x,-y,z;x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
36	A 21 a m	A 21 a m	A21am	A -2 2a	x,y,z;x,y,-z;x+1/2,-y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
36	B b 21 m	B b 21 m	Bb21m	B -2 -2b	x,y,z;x,y,-z;-x,y+1/2,z;-x,y+1/2,-z;x+1/2,y,z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2
36	B m 21 b	B m 21 b	Bm21b	B -2b -2	x,y,z;x,y+1/2,-z;-x,y,z;-x,y+1/2,-z;x+1/2,y,z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2
37	C c c 2	C c c 2	Ccc2	C 2 -2c	x,y,z;-x,-y,z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
37	A 2 a a	A 2 a a	A2aa	A -2a 2	x,y,z;x+1/2,y,-z;x,-y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
37	B b 2 b	B b 2 b	Bb2b	B -2b -2b	x,y,z;x,y+1/2,-z;-x,y+1/2,z;-x,y,-z;x+1/2,y,z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-x+1/2,y,-z+1/2
38	A m m 2	A m m 2	Amm2	A 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
38	B m m 2	B m m 2	Bmm2	B 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
38	B 2 m m	B 2 m m	B2mm	B -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z;x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,-y,z+1/2
38	C 2 m m	C 2 m m	C2mm	C -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z;x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z
38	C m 2 m	C m 2 m	Cm2m	C -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z;x+1/2,y+1/2,z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;-x+1/2,y+1/2,-z
38	A m 2 m	A m 2 m	Am2m	A -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;-x,y+1/2,-z+1/2
39	A b m 2	A b m 2	Abm2	A 2 -2b	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y,z+1/2;x,-y,z+1/2
39	B m a 2	B m a 2	Bma2	B 2 -2a	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x,y,z+1/2;x,-y,z+1/2
39	B 2 c m	B 2 c m	B2cm	B -2a 2	x,y,z;x+1/2,y,-z;x,-y,-z;x+1/2,-y,z;x+1/2,y,z+1/2;x,y,-z+1/2;x+1/2,-y,-z+1/2;x,-y,z+1/2
39	C 2 m b	C 2 m b	C2mb	C -2a 2	x,y,z;x+1/2,y,-z;x,-y,-z;x+1/2,-y,z;x+1/2,y+1/2,z;x,y+1/2,-z;x+1/2,-y+1/2,-z;x,-y+1/2,z
39	C m 2 a	C m 2 a	Cm2a	C -2a -2a	x,y,z;x+1/2,y,-z;-x+1/2,y,z;-x,y,-z;x+1/2,y+1/2,z;x,y+1/2,-z;-x,y+1/2,z;-x+1/2,y+1/2,-z
39	A c 2 m	A c 2 m	Ac2m	A -2b -2b	x,y,z;x,y+1/2,-z;-x,y+1/2,z;-x,y,-z;x,y+1/2,z+1/2;x,y,-z+1/2;-x,y,z+1/2;-x,y+1/2,-z+1/2
40	A m a 2	A m a 2	Ama2	A 2 -2a	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
40	B b m 2	B b m 2	Bbm2	B 2 -2b	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
40	B 2 m b	B 2 m b	B2mb	B -2b 2	x,y,z;x,y+1/2,-z;x,-y,-z;x,-y+1/2,z;x+1/2,y,z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,-y+1/2,z+1/2
40	C 2 c m	C 2 c m	C2cm	C -2c 2	x,y,z;x,y,-z+1/2;x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z+1/2
40	C c 2 m	C c 2 m	Cc2m	C -2c -2c	x,y,z;x,y,-z+1/2;-x,y,z+1/2;-x,y,-z;x+1/2,y+1/2,z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z
40	A m 2 a	A m 2 a	Am2a	A -2a -2a	x,y,z;x+1/2,y,-z;-x+1/2,y,z;-x,y,-z;x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-x,y+1/2,-z+1/2
41	A b a 2	A b a 2	Aba2	A 2 -2ab	x,y,z;-x,-y,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
41	B b a 2	B b a 2	Bba2	B 2 -2ab	x,y,z;-x,-y,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
41	B 2 c b	B 2 c b	B2cb	B -2ab 2	x,y,z;x+1/2,y+1/2,-z;x,-y,-z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;x,y+1/2,-z+1/2;x+1/2,-y,-z+1/2;x,-y+1/2,z+1/2
41	C 2 c b	C 2 c b	C2cb	C -2ac 2	x,y,z;x+1/2,y,-z+1/2;x,-y,-z;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;x,-y+1/2,z+1/2
41	C c 2 a	C c 2 a	Cc2a	C -2ac -2ac	x,y,z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x,y,-z;x+1/2,y+1/2,z;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;-x+1/2,y+1/2,-z
41	A c 2 a	A c 2 a	Ac2a	A -2ab -2ab	x,y,z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;-x,y,-z;x,y+1/2,z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x,y+1/2,-z+1/2
42	F m m 2	F m m 2	Fmm2	F 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
42	F 2 m m	F 2 m m	F2mm	F -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z
42	F m 2 m	F m 2 m	Fm2m	F -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;x+1/2,y,z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,y+1/2,z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;-x+1/2,y+1/2,-z
43	F d d 2	F d d 2	Fdd2	F 2 -2d	x,y,z;-x,-y,z;-x+1/4,y+1/4,z+1/4;x+1/4,-y+1/4,z+1/4;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x+1/4,y+3/4,z+3/4;x+1/4,-y+3/4,z+3/4;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+3/4,y+1/4,z+3/4;x+3/4,-y+1/4,z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+3/4,y+3/4,z+1/4;x+3/4,-y+3/4,z+1/4
43	F 2 d d	F 2 d d	F2dd	F -2d 2	x,y,z;x+1/4,y+1/4,-z+1/4;x,-y,-z;x+1/4,-y+3/4,z+3/4;x,y+1/2,z+1/2;x+1/4,y+3/4,-z+3/4;x,-y+1/2,-z+1/2;x+1/4,-y+1/4,z+1/4;x+1/2,y,z+1/2;x+3/4,y+1/4,-z+3/4;x+1/2,-y,-z+1/2;x+3/4,-y+3/4,z+1/4;x+1/2,y+1/2,z;x+3/4,y+3/4,-z+1/4;x+1/2,-y+1/2,-z;x+3/4,-y+1/4,z+3/4
43	F d 2 d	F d 2 d	Fd2d	F -2d -2d	x,y,z;x+1/4,y+1/4,-z+1/4;-x+1/4,y+1/4,z+1/4;-x,y+1/2,-z+1/2;x,y+1/2,z+1/2;x+1/4,y+3/4,-z+3/4;-x+1/4,y+3/4,z+3/4;-x,y,-z;x+1/2,y,z+1/2;x+3/4,y+1/4,-z+3/4;-x+3/4,y+1/4,z+3/4;-x+1/2,y+1/2,-z;x+1/2,y+1/2,z;x+3/4,y+3/4,-z+1/4;-x+3/4,y+3/4,z+1/4;-x+1/2,y,-z+1/2
44	I m m 2	I m m 2	Imm2	I 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
44	I 2 m m	I 2 m m	I2mm	I -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z;x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
44	I m 2 m	I m 2 m	Im2m	I -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z;x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2
45	I b a 2	I b a 2	Iba2	I 2 -2c	x,y,z;-x,-y,z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
45	I 2 c b	I 2 c b	I2cb	I -2a 2	x,y,z;x+1/2,y,-z;x,-y,-z;x+1/2,-y,z;x+1/2,y+1/2,z+1/2;x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
45	I c 2 a	I c 2 a	Ic2a	I -2b -2b	x,y,z;x,y+1/2,-z;-x,y+1/2,z;-x,y,-z;x+1/2,y+1/2,z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2
46	I m a 2	I m a 2	Ima2	I 2 -2a	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
46	I b m 2	I b m 2	Ibm2	I 2 -2b	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
46	I 2 m b	I 2 m b	I2mb	I -2b 2	x,y,z;x,y+1/2,-z;x,-y,-z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,-y,z+1/2
46	I 2 c m	I 2 c m	I2cm	I -2c 2	x,y,z;x,y,-z+1/2;x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z
46	I c 2 m	I c 2 m	Ic2m	I -2c -2c	x,y,z;x,y,-z+1/2;-x,y,z+1/2;-x,y,-z;x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;-x+1/2,y+1/2,-z+1/2
46	I m 2 a	I m 2 a	Im2a	I -2a -2a	x,y,z;x+1/2,y,-z;-x+1/2,y,z;-x,y,-z;x+1/2,y+1/2,z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2
47	P m m m	P m m m	Pmmm	-P 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z
48	P n n n	P n n n:1	Pnnn	P 2 2 -1n	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
48	P n n n	P n n n:2	Pnnn	-P 2ab 2bc	x,y,z;-x+1/2,-y+1/2,z;x,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x,y+1/2,z+1/2;x+1/2,-y,z+1/2
49	P c c m	P c c m	Pccm	-P 2 2c	x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2
49	P m a a	P m a a	Pmaa	-P 2a 2	x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z
49	P b m b	P b m b	Pbmb	-P 2b 2b	x,y,z;-x,-y+1/2,z;x,-y+1/2,-z;-x,y,-z;-x,-y,-z;x,y+1/2,-z;-x,y+1/2,z;x,-y,z
50	P b a n	P b a n:1	Pban	P 2 2 -1ab	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
50	P b a n	P b a n:2	Pban	-P 2ab 2b	x,y,z;-x+1/2,-y+1/2,z;x,-y+1/2,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y+1/2,z;x+1/2,-y,z
50	P n c b	P n c b:1	Pncb	P 2 2 -1bc	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
50	P n c b	P n c b:2	Pncb	-P 2b 2bc	x,y,z;-x,-y+1/2,z;x,-y+1/2,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y+1/2,-z;-x,y+1/2,z+1/2;x,-y,z+1/2
50	P c n a	P c n a:1	Pcna	P 2 2 -1ac	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
50	P c n a	P c n a:2	Pcna	-P 2a 2c	x,y,z;-x+1/2,-y,z;x,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x,y,z+1/2;x+1/2,-y,z+1/2
51	P m m a	P m m a	Pmma	-P 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z
51	P m m b	P m m b	Pmmb	-P 2b 2	x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z
51	P b m m	P b m m	Pbmm	-P 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,-z;x,y,-z;-x,y+1/2,z;x,-y+1/2,z
51	P c m m	P c m m	Pcmm	-P 2c 2c	x,y,z;-x,-y,z+1/2;x,-y,-z+1/2;-x,y,-z;-x,-y,-z;x,y,-z+1/2;-x,y,z+1/2;x,-y,z
51	P m c m	P m c m	Pmcm	-P 2c 2	x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x,y,z;x,-y,z+1/2
51	P m a m	P m a m	Pmam	-P 2 2a	x,y,z;-x,-y,z;x+1/2,-y,-z;-x+1/2,y,-z;-x,-y,-z;x,y,-z;-x+1/2,y,z;x+1/2,-y,z
52	P n n a	P n n a	Pnna	-P 2a 2bc	x,y,z;-x+1/2,-y,z;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
52	P n n b	P n n b	Pnnb	-P 2b 2n	x,y,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z+1/2
52	P b n n	P b n n	Pbnn	-P 2n 2b	x,y,z;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x,y+1/2,z;x+1/2,-y,z+1/2
52	P c n n	P c n n	Pcnn	-P 2ab 2c	x,y,z;-x+1/2,-y+1/2,z;x,-y,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x,y,z+1/2;x+1/2,-y+1/2,z+1/2
52	P n c n	P n c n	Pncn	-P 2ab 2n	x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x,-y,z+1/2
52	P n a n	P n a n	Pnan	-P 2n 2bc	x,y,z;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,y,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x+1/2,-y,z
53	P m n a	P m n a	Pmna	-P 2ac 2	x,y,z;-x+1/2,-y,z+1/2;x,-y,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x,y,z;x+1/2,-y,z+1/2
53	P n m b	P n m b	Pnmb	-P 2bc 2bc	x,y,z;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y,-z;-x,-y,-z;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y,z
53	P b m n	P b m n	Pbmn	-P 2ab 2ab	x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x,y,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x,-y,z
53	P c n m	P c n m	Pcnm	-P 2 2ac	x,y,z;-x,-y,z;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x,y,-z;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
53	P n c m	P n c m	Pncm	-P 2 2bc	x,y,z;-x,-y,z;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;x,y,-z;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
53	P m a n	P m a n	Pman	-P 2ab 2	x,y,z;-x+1/2,-y+1/2,z;x,-y,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y,z;x+1/2,-y+1/2,z
54	P c c a	P c c a	Pcca	-P 2a 2ac	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z+1/2;x,-y,z+1/2
54	P c c b	P c c b	Pccb	-P 2b 2c	x,y,z;-x,-y+1/2,z;x,-y,-z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z;-x,y,z+1/2;x,-y+1/2,z+1/2
54	P b a a	P b a a	Pbaa	-P 2a 2b	x,y,z;-x+1/2,-y,z;x,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y,-z;-x,y+1/2,z;x+1/2,-y+1/2,z
54	P c a a	P c a a	Pcaa	-P 2ac 2c	x,y,z;-x+1/2,-y,z+1/2;x,-y,-z+1/2;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z+1/2;-x,y,z+1/2;x+1/2,-y,z
54	P b c b	P b c b	Pbcb	-P 2bc 2b	x,y,z;-x,-y+1/2,z+1/2;x,-y+1/2,-z;-x,y,-z+1/2;-x,-y,-z;x,y+1/2,-z+1/2;-x,y+1/2,z;x,-y,z+1/2
54	P b a b	P b a b	Pbab	-P 2b 2ab	x,y,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y,-z;-x,-y,-z;x,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y,z
55	P b a m	P b a m	Pbam	-P 2 2ab	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
55	P m c b	P m c b	Pmcb	-P 2bc 2	x,y,z;-x,-y+1/2,z+1/2;x,-y,-z;-x,y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z+1/2;-x,y,z;x,-y+1/2,z+1/2
55	P c m a	P c m a	Pcma	-P 2ac 2ac	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x,-y,z
56	P c c n	P c c n	Pccn	-P 2ab 2ac	x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y,-z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y,z+1/2;x,-y+1/2,z+1/2
56	P n a a	P n a a	Pnaa	-P 2ac 2bc	x,y,z;-x+1/2,-y,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y,-z+1/2;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z
56	P b n b	P b n b	Pbnb	-P 2bc 2ab	x,y,z;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y,z+1/2
57	P b c m	P b c m	Pbcm	-P 2c 2b	x,y,z;-x,-y,z+1/2;x,-y+1/2,-z;-x,y+1/2,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x,y+1/2,z;x,-y+1/2,z+1/2
57	P c a m	P c a m	Pcam	-P 2c 2ac	x,y,z;-x,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z;-x,-y,-z;x,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z
57	P m c a	P m c a	Pmca	-P 2ac 2a	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,-z;-x,y,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y,z;x,-y,z+1/2
57	P m a b	P m a b	Pmab	-P 2b 2a	x,y,z;-x,-y+1/2,z;x+1/2,-y,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x+1/2,y,z;x+1/2,-y+1/2,z
57	P b m a	P b m a	Pbma	-P 2a 2ab	x,y,z;-x+1/2,-y,z;x+1/2,-y+1/2,-z;-x,y+1/2,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y+1/2,z;x,-y+1/2,z
57	P c m b	P c m b	Pcmb	-P 2bc 2c	x,y,z;-x,-y+1/2,z+1/2;x,-y,-z+1/2;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z+1/2;-x,y,z+1/2;x,-y+1/2,z
